CODIGO,nombre,CATEGORIA,altitud,latitud,longitud,MUNICIPIO,SUBZONA_HIDROGRAFICA,1,2,3,4,5,6,7,8,9,10,11,12
21215190,CAJAMARCA - AUT [21215190],Climática Principal,2530,4.43566667,-75.50036111,Cajamarca,Río Coello,41.165,32.51,45.99,64.85,75.71,66.71904762,49.05714286,37.16666667,33.6952381,59.6047619,57.8952381,47.13
21215180,BATALLON ROOKE  - AUT [21215180],Climática Principal,1323,4.41838889,-75.24866667,Ibagué,Río Coello,52.4,29.56,66.565,84.02,98.215,53.28571429,27.73809524,20.93809524,34.85238095,71.04761905,45.07142857,22.675
21215160,CERROS NOROCCIDENTALES  - AUT [21215160],Climática Principal,1946,4.47036111,-75.24386111,Ibagué,Río Coello,75.735,79.375,81.22,82.085,83.05,76.5047619,42.52857143,66.71904762,99.30952381,115.5047619,130.5857143,93.525
21250460,VENADILLO [21250460],Pluviométrica,430,4.66380556,-74.91775,Venadillo,Río Lagunilla y Otros Directos al Magdalena,66.1,57.35,123.95,175.85,194.7,90.80952381,75.0952381,58.71428571,100.4761905,136.8095238,85,65
21245040,AEROPUERTO PERALES [21245040],Sinóptica Secundaria,943,4.42413889,-75.13941667,Ibagué,Río Opía,87.33,91.46,155.09,214.8,194.28,81.74761905,57.94761905,63.05238095,105.252381,182.7428571,164.1095238,117.675
21245010,PERALES HATO OPIA [21245010],Climática Ordinaria,826,4.42966667,-75.20052222,Ibagué,Río Totare,55.305,67.775,129.565,185.54,166.48,80.93333333,66.45238095,58.34761905,107.0333333,125.547619,103.2047619,80.61
21215080,CHICORAL [21215080],Climática Ordinaria,432,4.23152778,-74.99536111,Espinal,Río Coello,63.46,67.8,162.695,194.9,160.315,78.92857143,50.40952381,39.04285714,85.66190476,138.547619,126.8285714,104.54
22050100,GUAYABOS LOS [22050100],Pluviométrica,330,4.65655556,-75.09694444,Coyaima,Río Totare,82.14,94.44,147.75,192.615,137.79,60.2,54.47142857,25.92380952,64.34285714,135.847619,132.9714286,116.795
23025040,ALBANIA [23025040],Climática Ordinaria,788,5.28569722,-74.90263889,Mariquita,Río Guarinó,236.84,173.885,295.225,328.875,311.655,142.5,100.7285714,148.5285714,210.9904762,454.5571429,493.3428571,327.31
23010080,IDEMA-HONDA [23010080],Pluviométrica,2508,5.20141667,-74.74958333,Honda,Río Gualí,42.795,47.295,83.31,132.545,138.575,41.6,34.23809524,60.68571429,94.91904762,150.0571429,141.1666667,61.445
23010020,EDEN EL [23010020],Pluviométrica,1670,5.15838889,-75.04891667,Fresno,Río Gualí,144.55,151.31,226.215,249.385,254.615,108.8857143,92.86666667,124.0095238,197.1952381,210.6190476,241.147619,191.72
21250450,POTOSI HACIENDA [21250450],Pluviométrica,389,5.05302778,-74.88247222,Armero (Guayabal),Río Lagunilla y Otros Directos al Magdalena,103.04,105.75,144.63,230.6,214.285,88,61.60952381,97.23809524,122.4761905,209.5619048,165.9047619,99.74
21255120,VILLAHERMOSA [21255120],Climática Ordinaria,269,5.01685278,-75.11761111,Villahermosa,Río Lagunilla y Otros Directos al Magdalena,154.655,209.89,252.485,258.185,286.64,134.3238095,90.25714286,108.4047619,179.2809524,285.8428571,273.9904762,200.865
21255090,ARMERO GRANJA [21255090],Climática Principal,321,5,-74.89999167,Armero (Guayabal),Río Lagunilla y Otros Directos al Magdalena,86.88,97.075,150.09,223.865,230.41,93.1952381,70.5047619,91.17619048,127.3857143,190.4809524,149.4666667,95.095
21255080,SALTO EL [21255080],Climática Principal,1139,4.78375,-74.76794444,Ambalema,Río Coello,53.515,64.375,106.73,168.275,160.465,56.57619048,37.44761905,51.8047619,84.82857143,138.6904762,114.9380952,61.145
21250480,SANTA BARBARA [21250480],Pluviométrica,3371,4.90661111,-75.22019444,Murillo,Río Lagunilla y Otros Directos al Magdalena,43.3,50.45,98.75,142.42,116.25,72.61904762,51.85714286,45.80952381,80.34761905,156.547619,106.8666667,65
21250170,BOQUERON [21250170],Pluviométrica,3740,4.90388889,-75.25277778,Villahermosa,Río Lagunilla y Otros Directos al Magdalena,54.5,91.4,119.69,172.885,163.495,69.14285714,37.79047619,32.97142857,75.30952381,108.6666667,92.85714286,79.8
